,study_name,sample_number,species,region,island,stage,individual_id,clutch_completion,date_egg,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,delta_15_n_o_oo,delta_13_c_o_oo,comments,date_e
33,PAL0708,38,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N24A2,Yes,11/16/07,42.2,18.5,180,3550,FEMALE,8.04787,-25.49523,NA,11/16/07
34,PAL0708,39,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N25A1,No,11/13/07,37.6,19.3,181,3300,FEMALE,9.41131,-25.04169,Nest never observed with full clutch.,11/13/07
35,PAL0708,40,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N25A2,No,11/13/07,39.8,19.1,184,4650,MALE,NA,NA,Nest never observed with full clutch. Not enough blood for isotopes.,11/13/07
36,PAL0708,41,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N26A1,Yes,11/16/07,36.5,18,182,3150,FEMALE,9.68933,-24.4228,NA,11/16/07
37,PAL0708,42,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N26A2,Yes,11/16/07,40.8,18.4,195,3900,MALE,NA,NA,Not enough blood for isotopes.,11/16/07
38,PAL0708,43,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N27A1,Yes,11/19/07,36,18.5,186,3100,FEMALE,9.50772,-25.03492,NA,11/19/07
39,PAL0708,44,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N27A2,Yes,11/19/07,44.1,19.7,196,4400,MALE,9.2372,-24.52698,NA,11/19/07
40,PAL0708,45,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N28A1,Yes,11/16/07,37,16.9,185,3000,FEMALE,9.36392,-25.01745,NA,11/16/07
41,PAL0708,46,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N28A2,Yes,11/16/07,39.6,18.8,190,4600,MALE,9.49106,-24.10255,NA,11/16/07
42,PAL0708,47,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N29A1,Yes,11/13/07,41.1,19,182,3425,MALE,NA,NA,Not enough blood for isotopes.,11/13/07
43,PAL0708,49,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N30A1,Yes,11/13/07,36,17.9,190,3450,FEMALE,9.51784,-25.07683,NA,11/13/07
44,PAL0708,50,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N30A2,Yes,11/13/07,42.3,21.2,191,4150,MALE,8.87988,-25.18543,NA,11/13/07
45,PAL0809,51,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N21A1,Yes,11/6/08,39.6,17.7,186,3500,FEMALE,8.46616,-26.12989,NA,11/6/08
46,PAL0809,52,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N21A2,Yes,11/6/08,40.1,18.9,188,4300,MALE,8.51362,-26.55602,NA,11/6/08
47,PAL0809,53,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N22A1,Yes,11/9/08,35,17.9,190,3450,FEMALE,8.19539,-26.17213,NA,11/9/08
48,PAL0809,54,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N22A2,Yes,11/9/08,42,19.5,200,4050,MALE,8.48095,-26.3146,NA,11/9/08
49,PAL0809,55,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N23A1,Yes,11/9/08,34.5,18.1,187,2900,FEMALE,8.41837,-26.54718,NA,11/9/08
50,PAL0809,56,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N23A2,Yes,11/9/08,41.4,18.6,191,3700,MALE,8.35396,-26.27853,NA,11/9/08
51,PAL0809,57,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N24A1,Yes,11/15/08,39,17.5,186,3550,FEMALE,8.57199,-26.07188,NA,11/15/08
52,PAL0809,58,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N24A2,Yes,11/15/08,40.6,18.8,193,3800,MALE,8.56674,-25.98843,NA,11/15/08
53,PAL0809,59,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N25A1,Yes,11/15/08,36.5,16.6,181,2850,FEMALE,9.07878,-25.88156,NA,11/15/08
54,PAL0809,60,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N25A2,Yes,11/15/08,37.6,19.1,194,3750,MALE,9.108,-25.89677,NA,11/15/08
55,PAL0809,61,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N27A1,Yes,11/13/08,35.7,16.9,185,3150,FEMALE,8.96472,-26.40943,NA,11/13/08
56,PAL0809,62,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N27A2,Yes,11/13/08,41.3,21.1,195,4400,MALE,8.74802,-26.37809,NA,11/13/08
57,PAL0809,63,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N28A1,Yes,11/13/08,37.6,17,185,3600,FEMALE,8.58063,-26.21569,NA,11/13/08
58,PAL0809,64,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N28A2,Yes,11/13/08,41.1,18.2,192,4050,MALE,8.62264,-26.60023,NA,11/13/08
59,PAL0809,65,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N29A1,Yes,11/13/08,36.4,17.1,184,2850,FEMALE,8.62623,-26.1165,NA,11/13/08
60,PAL0809,66,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N29A2,Yes,11/13/08,41.6,18,192,3950,MALE,8.85562,-26.09294,NA,11/13/08
61,PAL0809,67,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N30A1,Yes,11/6/08,35.5,16.2,195,3350,FEMALE,8.56192,-25.95541,NA,11/6/08
62,PAL0809,68,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N30A2,Yes,11/6/08,41.1,19.1,188,4100,MALE,8.71078,-25.81012,NA,11/6/08
63,PAL0809,69,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N32A1,No,11/11/08,35.9,16.6,190,3050,FEMALE,8.47781,-26.07821,Nest never observed with full clutch.,11/11/08
64,PAL0809,70,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N32A2,No,11/11/08,41.8,19.4,198,4450,MALE,8.86853,-26.06209,Nest never observed with full clutch.,11/11/08
65,PAL0809,71,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N34A1,Yes,11/14/08,33.5,19,190,3600,FEMALE,7.88863,-26.63085,NA,11/14/08
66,PAL0809,72,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N34A2,Yes,11/14/08,39.7,18.4,190,3900,MALE,9.29808,-25.23453,NA,11/14/08
67,PAL0809,73,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N35A1,Yes,11/11/08,39.6,17.2,196,3550,FEMALE,8.33524,-26.55351,NA,11/11/08
68,PAL0809,74,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N35A2,Yes,11/11/08,45.8,18.9,197,4150,MALE,8.18658,-26.45978,NA,11/11/08
69,PAL0809,75,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N36A1,Yes,11/8/08,35.5,17.5,190,3700,FEMALE,8.70642,-26.15003,NA,11/8/08
70,PAL0809,76,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N36A2,Yes,11/8/08,42.8,18.5,195,4250,MALE,8.2993,-26.38986,NA,11/8/08
71,PAL0809,77,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N37A1,Yes,11/6/08,40.9,16.8,191,3700,FEMALE,8.47257,-26.02002,NA,11/6/08
72,PAL0809,78,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N37A2,Yes,11/6/08,37.2,19.4,184,3900,MALE,8.3554,-26.44787,NA,11/6/08
73,PAL0809,79,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N38A1,Yes,11/9/08,36.2,16.1,187,3550,FEMALE,7.82381,-26.51382,NA,11/9/08
74,PAL0809,80,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N38A2,Yes,11/9/08,42.1,19.1,195,4000,MALE,9.05736,-25.81513,NA,11/9/08
75,PAL0809,81,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N39A1,Yes,11/2/08,34.6,17.2,189,3200,FEMALE,7.69778,-26.5387,NA,11/2/08
76,PAL0809,82,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N39A2,Yes,11/2/08,42.9,17.6,196,4700,MALE,8.63259,-26.23027,NA,11/2/08
77,PAL0809,83,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N40A1,Yes,11/7/08,36.7,18.8,187,3800,FEMALE,7.88494,-26.24837,NA,11/7/08
78,PAL0809,84,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N40A2,Yes,11/7/08,35.1,19.4,193,4200,MALE,8.90002,-26.46254,NA,11/7/08
79,PAL0809,85,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N41A1,Yes,11/17/08,37.3,17.8,191,3350,FEMALE,8.32718,-26.38396,NA,11/17/08
80,PAL0809,86,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N41A2,Yes,11/17/08,41.3,20.3,194,3550,MALE,9.14863,-26.09635,NA,11/17/08
81,PAL0809,87,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N42A1,Yes,11/8/08,36.3,19.5,190,3800,MALE,8.57087,-26.22227,NA,11/8/08
82,PAL0809,88,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N42A2,Yes,11/8/08,36.9,18.6,189,3500,FEMALE,8.59147,-26.08165,NA,11/8/08
83,PAL0809,89,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N44A1,Yes,11/8/08,38.3,19.2,189,3950,MALE,9.07826,-26.12417,NA,11/8/08
84,PAL0809,90,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N44A2,Yes,11/8/08,38.9,18.8,190,3600,FEMALE,8.36936,-26.11199,NA,11/8/08
85,PAL0809,91,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N45A1,Yes,11/14/08,35.7,18,202,3550,FEMALE,8.46531,-26.05621,NA,11/14/08
86,PAL0809,92,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N45A2,Yes,11/14/08,41.1,18.1,205,4300,MALE,8.77018,-25.83352,NA,11/14/08
87,PAL0809,93,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N46A1,Yes,11/5/08,34,17.1,185,3400,FEMALE,8.01485,-26.69543,NA,11/5/08
88,PAL0809,94,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N46A2,Yes,11/5/08,39.6,18.1,186,4450,MALE,8.49915,-26.42406,NA,11/5/08
89,PAL0809,95,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N48A1,Yes,11/17/08,36.2,17.3,187,3300,FEMALE,8.90723,-26.30037,NA,11/17/08
90,PAL0809,96,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N48A2,Yes,11/17/08,40.8,18.9,208,4300,MALE,8.48204,-26.57941,NA,11/17/08
91,PAL0809,97,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N49A1,Yes,11/8/08,38.1,18.6,190,3700,FEMALE,8.10277,-26.50086,NA,11/8/08
92,PAL0809,98,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N49A2,Yes,11/8/08,40.3,18.5,196,4350,MALE,8.39459,-26.01152,NA,11/8/08
93,PAL0809,99,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N50A1,Yes,11/10/08,33.1,16.1,178,2900,FEMALE,9.04218,-26.15775,NA,11/10/08
94,PAL0809,100,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N50A2,Yes,11/10/08,43.2,18.5,192,4100,MALE,8.97025,-26.03679,NA,11/10/08
95,PAL0910,101,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N47A1,Yes,11/9/09,35,17.9,192,3725,FEMALE,8.84451,-26.28055,NA,11/9/09
96,PAL0910,102,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N47A2,Yes,11/9/09,41,20,203,4725,MALE,9.01079,-26.38085,NA,11/9/09
97,PAL0910,103,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N49A1,Yes,11/15/09,37.7,16,183,3075,FEMALE,9.2151,-26.2253,NA,11/15/09
98,PAL0910,104,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N49A2,Yes,11/15/09,37.8,20,190,4250,MALE,9.51929,-25.69199,NA,11/15/09
99,PAL0910,105,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N51A1,Yes,11/15/09,37.9,18.6,193,2925,FEMALE,9.02642,-25.86482,NA,11/15/09
100,PAL0910,106,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N51A2,Yes,11/15/09,39.7,18.9,184,3550,MALE,8.85699,-25.80208,NA,11/15/09
101,PAL0910,107,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N53A1,Yes,11/15/09,38.6,17.2,199,3750,FEMALE,8.77322,-26.48973,NA,11/15/09
102,PAL0910,108,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N53A2,Yes,11/15/09,38.2,20,190,3900,MALE,9.59245,-25.70711,NA,11/15/09
103,PAL0910,109,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N55A1,Yes,11/20/09,38.1,17,181,3175,FEMALE,9.79532,-25.27385,NA,11/20/09
104,PAL0910,110,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N55A2,Yes,11/20/09,43.2,19,197,4775,MALE,9.31735,-25.45171,NA,11/20/09
105,PAL0910,111,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N58A1,Yes,11/12/09,38.1,16.5,198,3825,FEMALE,8.43951,-26.57563,NA,11/12/09
106,PAL0910,112,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N58A2,Yes,11/12/09,45.6,20.3,191,4600,MALE,8.65466,-26.32909,NA,11/12/09
107,PAL0910,113,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N60A1,Yes,11/15/09,39.7,17.7,193,3200,FEMALE,9.02657,-26.06203,NA,11/15/09
108,PAL0910,114,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N60A2,Yes,11/15/09,42.2,19.5,197,4275,MALE,8.80186,-26.41218,NA,11/15/09
109,PAL0910,115,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N61A1,Yes,11/17/09,39.6,20.7,191,3900,FEMALE,8.80967,-26.78958,NA,11/17/09
110,PAL0910,116,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N61A2,Yes,11/17/09,42.7,18.3,196,4075,MALE,8.91434,-26.42018,NA,11/17/09
111,PAL0910,117,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N63A1,Yes,11/18/09,38.6,17,188,2900,FEMALE,9.18021,-25.77264,NA,11/18/09
112,PAL0910,118,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N63A2,Yes,11/18/09,37.3,20.5,199,3775,MALE,9.49645,-26.36678,NA,11/18/09
113,PAL0910,119,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N64A1,Yes,11/22/09,35.7,17,189,3350,FEMALE,8.96436,-23.90309,NA,11/22/09
114,PAL0910,120,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N64A2,Yes,11/22/09,41.1,18.6,189,3325,MALE,9.32277,-26.09989,NA,11/22/09
115,PAL0910,121,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N66A1,No,11/17/09,36.2,17.2,187,3150,FEMALE,9.04296,-26.19444,Nest never observed with full clutch.,11/17/09
116,PAL0910,122,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N66A2,No,11/17/09,37.7,19.8,198,3500,MALE,9.11066,-26.42563,Nest never observed with full clutch.,11/17/09
117,PAL0910,123,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N67A1,Yes,11/16/09,40.2,17,176,3450,FEMALE,9.30722,-25.61039,NA,11/16/09
118,PAL0910,124,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N67A2,Yes,11/16/09,41.4,18.5,202,3875,MALE,9.59462,-25.42621,NA,11/16/09
119,PAL0910,125,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N69A1,Yes,11/18/09,35.2,15.9,186,3050,FEMALE,8.81668,-25.95399,NA,11/18/09
120,PAL0910,126,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N69A2,Yes,11/18/09,40.6,19,199,4000,MALE,9.22537,-25.60826,NA,11/18/09
121,PAL0910,127,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N71A1,Yes,11/21/09,38.8,17.6,191,3275,FEMALE,8.88098,-25.89741,NA,11/21/09
122,PAL0910,128,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N71A2,Yes,11/21/09,41.5,18.3,195,4300,MALE,8.52566,-26.0245,NA,11/21/09
123,PAL0910,129,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N72A1,Yes,11/18/09,39,17.1,191,3050,FEMALE,9.19031,-25.73722,NA,11/18/09
124,PAL0910,130,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N72A2,Yes,11/18/09,44.1,18,210,4000,MALE,9.10702,-26.01363,NA,11/18/09
125,PAL0910,131,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N73A1,No,11/23/09,38.5,17.9,190,3325,FEMALE,8.9846,-25.57956,Nest never observed with full clutch.,11/23/09
126,PAL0910,132,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N73A2,No,11/23/09,43.1,19.2,197,3500,MALE,8.86495,-26.1396,Nest never observed with full clutch.,11/23/09
127,PAL0910,133,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N76A1,Yes,11/10/09,36.8,18.5,193,3500,FEMALE,8.98705,-25.57647,NA,11/10/09
128,PAL0910,134,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N76A2,Yes,11/10/09,37.5,18.5,199,4475,MALE,8.56708,-26.49288,NA,11/10/09
129,PAL0910,135,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N77A1,Yes,11/13/09,38.1,17.6,187,3425,FEMALE,8.717,-25.77951,NA,11/13/09
130,PAL0910,136,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N77A2,Yes,11/13/09,41.1,17.5,190,3900,MALE,8.94365,-26.06943,NA,11/13/09
131,PAL0910,137,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N78A1,Yes,11/16/09,35.6,17.5,191,3175,FEMALE,8.75984,-25.97696,NA,11/16/09
132,PAL0910,138,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N78A2,Yes,11/16/09,40.2,20.1,200,3975,MALE,8.95998,-26.32601,NA,11/16/09
133,PAL0910,139,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N79A1,No,11/16/09,37,16.5,185,3400,FEMALE,8.61651,-26.07021,Nest never observed with full clutch.,11/16/09
134,PAL0910,140,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N79A2,No,11/16/09,39.7,17.9,193,4250,MALE,9.25769,-25.88798,Nest never observed with full clutch.,11/16/09
135,PAL0910,141,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N80A1,Yes,11/14/09,40.2,17.1,193,3400,FEMALE,9.2881,-25.54976,NA,11/14/09
136,PAL0910,142,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N80A2,Yes,11/14/09,40.6,17.2,187,3475,MALE,9.23408,-26.01549,NA,11/14/09
137,PAL0910,143,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N81A1,Yes,11/16/09,32.1,15.5,188,3050,FEMALE,8.79787,-26.61075,NA,11/16/09
138,PAL0910,144,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N81A2,Yes,11/16/09,40.7,17,190,3725,MALE,9.05674,-25.79529,NA,11/16/09
139,PAL0910,145,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N82A1,Yes,11/16/09,37.3,16.8,192,3000,FEMALE,9.06829,-25.85203,NA,11/16/09
140,PAL0910,146,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N82A2,Yes,11/16/09,39,18.7,185,3650,MALE,9.22033,-26.03442,NA,11/16/09
141,PAL0910,147,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N83A1,Yes,11/13/09,39.2,18.6,190,4250,MALE,9.11006,-25.79549,NA,11/13/09
142,PAL0910,148,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N83A2,Yes,11/13/09,36.6,18.4,184,3475,FEMALE,8.68744,-25.8306,NA,11/13/09
143,PAL0910,149,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N84A1,Yes,11/17/09,36,17.8,195,3450,FEMALE,8.94332,-25.79189,NA,11/17/09
144,PAL0910,150,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N84A2,Yes,11/17/09,37.8,18.1,193,3750,MALE,8.97533,-26.03495,NA,11/17/09
145,PAL0910,151,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N85A1,Yes,11/17/09,36,17.1,187,3700,FEMALE,8.93465,-26.07081,NA,11/17/09
146,PAL0910,152,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N85A2,Yes,11/17/09,41.5,18.5,201,4000,MALE,8.8964,-26.06967,NA,11/17/09
147,PAL0708,1,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N31A1,Yes,11/27/07,46.1,13.2,211,4500,FEMALE,7.993,-25.5139,NA,11/27/07
